iter	Passed	Remaining
0	498	497798
1	575	287375
2	618	205705
3	662	165013
4	705	140369
5	755	125146
6	793	112621
7	831	103162
8	869	95775
9	915	90641
10	986	88652
11	1034	85204
12	1070	81290
13	1113	78446
14	1153	75740
15	1190	73237
16	1224	70796
17	1259	68729
18	1296	66915
19	1333	65320
20	1365	63678
21	1405	62501
22	1439	61152
23	1475	59994
24	1526	59519
25	1560	58477
26	1597	57563
27	1633	56689
28	1670	55918
29	1703	55089
30	1739	54374
31	1777	53763
32	1819	53304
33	1853	52657
34	1886	52024
35	1926	51586
36	1960	51027
37	1992	50441
38	2032	50074
39	2064	49539
40	2098	49091
41	2169	49495
42	2207	49120
43	2247	48830
44	2295	48719
45	2330	48328
46	2365	47958
47	2402	47658
48	2437	47298
49	2472	46983
50	2509	46702
51	2549	46477
52	2587	46227
53	2622	45948
54	2658	45684
55	2696	45463
56	2733	45220
57	2764	44896
58	2798	44637
59	2837	44448
60	2875	44257
61	2910	44031
62	2950	43885
63	2988	43703
64	3022	43484
65	3062	43333
66	3094	43092
67	3128	42877
68	3164	42694
69	3202	42544
70	3236	42349
71	3273	42189
72	3308	42015
73	3341	41816
74	3383	41726
75	3427	41672
76	3471	41616
77	3509	41479
78	3569	41616
79	3691	42454
80	3823	43380
81	3878	43422
82	3918	43296
83	3961	43194
84	3995	43007
85	4033	42862
86	4077	42789
87	4115	42655
88	4154	42527
89	4191	42376
90	4230	42262
91	4268	42125
92	4312	42055
93	4355	41978
94	4400	41923
95	4444	41852
96	4488	41783
97	4532	41715
98	4576	41646
99	4619	41576
100	4676	41625
101	4723	41589
102	4761	41463
103	4798	41337
104	4836	41226
105	4878	41148
106	4918	41046
107	4964	41001
108	5004	40912
109	5040	40783
110	5075	40648
111	5114	40553
112	5154	40461
113	5195	40377
114	5238	40314
115	5280	40237
116	5324	40182
117	5365	40102
118	5401	39989
119	5440	39896
120	5482	39830
121	5527	39780
122	5569	39707
123	5611	39644
124	5653	39576
125	5690	39475
126	5730	39394
127	5772	39323
128	5829	39361
129	5989	40085
130	6091	40411
131	6234	40994
132	6321	41208
133	6422	41508
134	6551	41978
135	6645	42219
136	6715	42304
137	6941	43361
138	7099	43974
139	7207	44275
140	7288	44404
141	7349	44407
142	7395	44321
143	7449	44284
144	7504	44253
145	7545	44137
146	7585	44018
147	7623	43889
148	7663	43768
149	7699	43631
150	7740	43522
151	7790	43460
152	7833	43363
153	7876	43270
154	7916	43155
155	7955	43040
156	7995	42930
157	8035	42824
158	8075	42716
159	8114	42601
160	8154	42494
161	8195	42392
162	8238	42303
163	8281	42215
164	8322	42117
165	8365	42031
166	8404	41923
167	8444	41819
168	8484	41721
169	8537	41682
170	8623	41804
171	8698	41871
172	8778	41964
173	8839	41960
174	8937	42136
175	9068	42457
176	9147	42535
177	9222	42591
178	9300	42656
179	9361	42645
180	9407	42565
181	9447	42463
182	9489	42366
183	9528	42254
184	9566	42146
185	9610	42058
186	9679	42082
187	9766	42184
188	9933	42626
189	9976	42532
190	10019	42440
191	10058	42331
192	10098	42226
193	10162	42220
194	10239	42271
195	10302	42261
196	10365	42249
197	10431	42253
198	10488	42217
199	10535	42141
200	10576	42042
201	10621	41958
202	10662	41860
203	10704	41768
204	10778	41797
205	10967	42273
206	11026	42240
207	11089	42224
208	11142	42169
209	11187	42084
210	11238	42026
211	11314	42056
212	11425	42215
213	11499	42235
214	11555	42189
215	11602	42111
216	11645	42021
